,Id,CodePostal,Latitude,Longitude,Coordonnées,lien
0,10241,47450,44.242150699999996,0.5471777963815636,"44.242150699999996,0.5471777963815636",https://si.eeudf.org/lieu/voir/10241
1,10269,48170,44.639284599999996,3.6746072964828365,"44.639284599999996,3.6746072964828365",https://si.eeudf.org/lieu/voir/10269
2,10274,01800,45.8860262,5.169616274572701,"45.8860262,5.169616274572701",https://si.eeudf.org/lieu/voir/10274
3,10275,48110,44.18713245,3.717506017248183,"44.18713245,3.717506017248183",https://si.eeudf.org/lieu/voir/10275
4,10276,30450,44.37177585,3.9807083096851716,"44.37177585,3.9807083096851716",https://si.eeudf.org/lieu/voir/10276
5,10277,16150,45.869662399999996,0.7241321268469574,"45.869662399999996,0.7241321268469574",https://si.eeudf.org/lieu/voir/10277
6,11343,05100,44.95850085,6.6957747844746915,"44.95850085,6.6957747844746915",https://si.eeudf.org/lieu/voir/11343
7,10237,13390,43.359366800000004,5.658320909531718,"43.359366800000004,5.658320909531718",https://si.eeudf.org/lieu/voir/10237
8,10393,29510,48.0964161,-4.000129767991873,"48.0964161,-4.000129767991873",https://si.eeudf.org/lieu/voir/10393
9,10487,31081,43.5919646,1.3751629,"43.5919646,1.3751629",https://si.eeudf.org/lieu/voir/10487
10,10499,21530,47.3843038,4.144914997271011,"47.3843038,4.144914997271011",https://si.eeudf.org/lieu/voir/10499
11,10511,24440,44.7389208,0.7878725859796334,"44.7389208,0.7878725859796334",https://si.eeudf.org/lieu/voir/10511
12,10512,24440,44.7389208,0.7878725859796334,"44.7389208,0.7878725859796334",https://si.eeudf.org/lieu/voir/10512
13,10534,07160,44.8991645,4.434444593575419,"44.8991645,4.434444593575419",https://si.eeudf.org/lieu/voir/10534
15,11068,83440,43.64459605,6.68097996246104,"43.64459605,6.68097996246104",https://si.eeudf.org/lieu/voir/11068
16,11134,05100,44.95850085,6.6957747844746915,"44.95850085,6.6957747844746915",https://si.eeudf.org/lieu/voir/11134
17,10559,24440,44.7389208,0.7878725859796334,"44.7389208,0.7878725859796334",https://si.eeudf.org/lieu/voir/10559
18,10282,24510,44.94133255,0.7546158488940613,"44.94133255,0.7546158488940613",https://si.eeudf.org/lieu/voir/10282
19,10283,02160,49.391886650000004,3.720454338880018,"49.391886650000004,3.720454338880018",https://si.eeudf.org/lieu/voir/10283
20,10291,33350,44.8430545,-0.049052773367123395,"44.8430545,-0.049052773367123395",https://si.eeudf.org/lieu/voir/10291
21,10292,43520,45.042832000000004,4.234067992685486,"45.042832000000004,4.234067992685486",https://si.eeudf.org/lieu/voir/10292
22,10300,26400,44.75054845,5.022119457922379,"44.75054845,5.022119457922379",https://si.eeudf.org/lieu/voir/10300
23,10319,81100,43.617250600000006,2.252883554125058,"43.617250600000006,2.252883554125058",https://si.eeudf.org/lieu/voir/10319
24,10325,29430,48.6219902,-4.209344225478395,"48.6219902,-4.209344225478395",https://si.eeudf.org/lieu/voir/10325
25,10326,02200,49.3604063,3.3229899380799717,"49.3604063,3.3229899380799717",https://si.eeudf.org/lieu/voir/10326
26,10327,86300,46.544916,0.6910906666416572,"46.544916,0.6910906666416572",https://si.eeudf.org/lieu/voir/10327
